Month,All_Items_YoY,All_Items_MoM,Housing_YoY,Transport_YoY,Food_YoY,Textiles_YoY,Recreation_YoY,Education_YoY,CPI_Index_21,Context
2022-01,1.61,0.01,-2.07,16.61,3.75,2.18,-13.23,0.60,101.15,"Post-COVID recovery begins; oil rising from $78 to $88; Omicron wave fading"
2022-02,2.78,0.84,-1.90,22.92,5.09,2.57,-8.28,0.60,102.00,"Russia invades Ukraine Feb 24; oil jumps to $100+; wheat/corn spike; global supply chain fears"
2022-03,3.44,1.09,-1.57,23.58,6.03,2.80,-0.30,0.30,103.11,"Brent hits $128 (Mar 8); food commodities surge; UAE fuel prices track global oil; Fed signals rate hikes"
2022-04,5.13,1.61,-1.28,29.04,7.97,1.06,13.28,0.46,104.77,"Oil stays above $100; food crisis deepens; global wheat +40%; UAE food imports 90% dependent"
2022-05,5.14,-0.16,-1.04,27.15,8.22,1.77,16.49,0.46,104.60,"Peak commodity prices; Ramadan demand adds to food pressure; housing still deflating"
2022-06,6.50,1.32,-0.69,34.51,8.28,1.90,22.32,1.03,105.98,"Brent hits $122 (Jun 8); Transport at +34.5% - highest in dataset; food near +9%"
2022-07,7.88,1.56,-0.30,42.02,8.97,2.47,25.97,1.04,107.63,"PEAK INFLATION: 7.88% - highest in a decade. Transport +42% (oil at $120+). Housing STILL negative."
2022-08,6.50,-1.01,0.08,28.89,9.06,3.60,26.88,1.04,106.54,"Oil starts falling from peak; transport easing; housing finally turns positive (+0.08%) after 4+ years of deflation"
2022-09,5.08,-1.14,0.57,19.79,7.48,3.73,18.28,1.28,105.33,"Oil continues falling; base effects starting to help; food moderating"
2022-10,4.67,-0.12,1.45,10.38,8.42,5.98,20.32,1.28,105.20,"Transport normalizing; housing accelerating to +1.45%; Textiles peak at +5.98%"
2022-11,4.42,0.43,1.52,10.91,6.69,3.32,20.08,1.28,105.65,"Moderation continues; housing steady at +1.5%; oil in $80-90 range"
2022-12,4.75,0.27,1.84,11.55,6.05,3.11,24.00,2.04,105.94,"Year-end. Housing at +1.84% and rising. Annual average: 4.82%. FCSA confirms via annual report."
